lat_cell,lon_cell,continent,n_rec,S_obs,S_rare10,Acoustic_Complexity_Index__mean,Acoustic_Diversity_Index__main_value,Acoustic_Evenness_Index__main_value,Bio_acoustic_Index__main_value,Normalized_Difference_Sound_Index__main_value,Spectral_Entropy__main_value,Temporal_Entropy__main_value,NB_peaks__main_value,Acoustic_Diversity_Index_NR__main_value,Bio_acoustic_Index_NR__main_value,Spectral_Entropy_NR__main_value
-0.7,34.5,africa,26,15,8.108,157.90398793285584,1.9029468356654147,0.25155551821204214,8.032284814231613,0.5389253505065025,0.8363083222250782,0.957783513361947,3.8461538461538463,1.8954563520880388,9.447879621991294,0.7798807547186167
5.2,-2.7,africa,83,55,9.949,155.4355958125022,1.92651527401634,0.2324147716470041,8.659561630580411,0.42184577706633203,0.8067386314071402,0.9813636390346675,5.120481927710843,1.891160445206839,9.771327175219218,0.7778344083767766
-0.3,29.9,africa,7,8,,171.08170755736896,1.6818183197150136,0.3602714900373608,8.089065730077568,0.40743616504048935,0.7782529217182423,0.9292426413358651,2.5714285714285716,1.7137310546859295,9.155457837619632,0.7245909226030532
13.3,-16.8,africa,12,10,8.652,162.0305541922846,1.9321365385753688,0.20794473166193775,7.426388075524027,0.6057433529008113,0.8156502973150629,0.968163310601525,3.9166666666666665,1.923395838381938,8.780716557733514,0.7713862217975805
31.1,-7.9,africa,14,11,8.846,161.111066267028,1.9223644129910937,0.24892575592929106,9.436663512900969,0.5395115010388143,0.845839403056981,0.9512273155680357,3.2142857142857144,1.8336934156681528,11.426061866947956,0.8107279128279604
-4.8,12.3,africa,14,7,6.374,167.88282986686593,1.9755987042979173,0.20221518577646527,10.580314223305127,0.6298518451185372,0.8415080760877032,0.969146384996968,4.214285714285714,1.9437454730749817,11.212616470008953,0.8287674922750492
-19.0,48.4,africa,77,41,13.806,159.61653362723462,1.941305391168289,0.21131372405142834,8.711429077030681,0.7622481719158365,0.8798048760375851,0.9545822427779035,4.220779220779221,1.9356635974714351,10.40236114381513,0.842903172880663
5.5,-7.2,africa,5,4,,177.9011204689503,2.0455825386490325,0.110749592420914,7.688747064845169,0.16874012442867445,0.8191481275045674,0.9773238531809445,4.4,2.007464255669492,8.583650203721156,0.7969936709664857
31.2,-7.9,africa,14,9,7.363,164.7029213414325,1.845799153071416,0.2209298634418622,8.565611555222358,0.7312247277476267,0.8535608133726429,0.9453195018832145,5.714285714285714,1.8442070736134357,10.27082176929238,0.8090643717318423
-18.9,47.4,africa,2,2,,163.07233724133715,1.9277695034572808,0.2439684324576582,6.804870234353658,0.7142683777306751,0.8912406797744875,0.9788370222273313,3.5,1.8266361045296478,8.371232203152305,0.8742496728247342
-25.2,28.2,africa,3,3,,161.36116294760257,1.727777213456848,0.35505493515149505,7.930894332493651,0.9509874743933864,0.8926607443029994,0.9251572011737702,4.0,1.7035821131766073,9.403162557698337,0.8408272301324509
0.1,38.1,africa,32,38,15.996,161.68011731239724,1.973645386674898,0.19389594195112086,5.435942647025505,0.7495583117353922,0.9132730579860386,0.9523298457239103,5.0625,1.968253524516928,6.907645732282436,0.8610944333153713
6.9,-1.3,africa,1,1,,186.65907027642422,2.073987484343612,0.050580715783224095,11.52004393488253,0.6901713947067526,0.9310702563383649,0.9619870485720559,11.0,2.0740231582131736,11.62993068096796,0.9294279773677168
-25.4,31.7,africa,2,2,,179.55792251767747,1.9948825088576747,0.164876212823871,9.640255815661227,0.9570794927596402,0.9153561925756815,0.9575738594397364,13.0,1.9798114141101895,10.717935355828292,0.9007094417847198
-33.1,18.0,africa,21,20,10.847,173.81687918416827,1.9583000532060497,0.19860661090724033,7.755742561847391,0.5440313140119731,0.8482657891773263,0.9518002339186102,5.285714285714286,1.9294843699993733,8.807804060911261,0.8237922810776988
2.1,31.2,africa,8,8,,156.0929075507172,1.2518710273252482,0.5645172339984262,10.63452516211128,-0.06716874796632674,0.6671742692514093,0.9324562143909815,2.875,1.307688075751591,11.139229036978813,0.6223739009919887
